,,Row Labels,# of Depressed/Non-Depressed,,,,,,,,,,,,,Row Labels,Count of GENDER
,,0,3616,,,,,,,,,,,,,1,2186
,,1,956,,,,,,,,,,,,,2,2386
,,Grand Total,4572,,,,,,,,,,,,,Grand Total,4572
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Row Labels,Count of Race
,,,,,,,,,,,,,,,,1,687
,,,,,,,,,,,,,,,,2,458
,,,,,,,,,,,,,,,,3,1354
,,,,,,,,,,,,,,,,4,1109
,,,,,,,,,,,,,,,,5,964
,,,,,,,,,,,,,,,,Grand Total,4572
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Row Labels,Cocaine Users,,,,,,,,,,
,,,,,,0,3901,,,,,,,,,,
Row Labels,Count of Drug_user,,,,,1,639,,,,,,,,,,
0,3508,,,,,2,30,,,,,,,,,,
1,1064,,,,,7,2,,,,,,,,,,
Grand Total,4572,,,,,Grand Total,4572,,,,,,,,,,
